Počet kritérií	50		Počet variant	50																																																
			Varianta																																																	
Kritérium	Cíl	Váha	Varianta 1	Varianta 2	Varianta 3	Varianta 4	Varianta 5	Varianta 6	Varianta 7	Varianta 8	Varianta 9	Varianta 10	Varianta 11	Varianta 12	Varianta 13	Varianta 14	Varianta 15	Varianta 16	Varianta 17	Varianta 18	Varianta 19	Varianta 20	Varianta 21	Varianta 22	Varianta 23	Varianta 24	Varianta 25	Varianta 26	Varianta 27	Varianta 28	Varianta 29	Varianta 30	Varianta 31	Varianta 32	Varianta 33	Varianta 34	Varianta 35	Varianta 36	Varianta 37	Varianta 38	Varianta 39	Varianta 40	Varianta 41	Varianta 42	Varianta 43	Varianta 44	Varianta 45	Varianta 46	Varianta 47	Varianta 48	Varianta 49	Varianta 50
Kritérium 1	max	3,9 %	35	15	52	30	71	37	35	83	54	89	32	66	38	11	67	2	48	11	97	91	88	40	51	60	38	65	97	77	24	16	71	10	95	69	3	12	95	12	14	0	94	24	78	71	98	59	28	3	65	60
Kritérium 2	max	3,8 %	94	90	37	3	4	39	1	12	72	58	64	2	33	6	49	69	62	34	100	7	45	23	66	73	44	0	70	92	16	58	61	27	44	75	2	82	60	68	83	63	94	50	88	12	52	46	63	7	30	83
Kritérium 3	min	3,7 %	39	98	7	91	86	18	16	67	92	75	15	95	23	68	71	21	73	12	28	30	60	16	8	62	35	51	56	61	22	32	25	8	30	26	28	35	24	14	91	10	71	66	64	70	62	92	6	18	66	70
Kritérium 4	min	3,6 %	5	35	2	45	13	55	90	81	55	9	55	51	69	72	98	80	77	94	74	59	63	27	85	45	27	68	19	60	32	6	10	75	64	49	19	5	43	0	51	60	94	32	54	92	78	40	83	73	83	12
Kritérium 5	max	3,4 %	7	30	32	44	70	23	71	75	66	17	47	9	87	43	64	44	100	83	35	47	1	41	27	97	38	25	87	46	79	35	56	58	14	76	56	8	65	61	1	79	56	42	88	24	58	41	78	10	47	37
Kritérium 6	min	3,3 %	98	27	63	5	71	68	90	16	33	50	97	25	2	46	8	35	23	66	82	78	53	38	19	46	71	62	25	38	26	56	92	40	35	56	5	85	68	22	48	33	65	23	59	5	92	85	83	67	62	96
Kritérium 7	min	3,1 %	2	16	10	26	12	30	47	4	83	61	13	17	98	96	83	22	21	70	62	57	45	13	91	70	1	41	12	43	58	14	98	12	7	7	78	31	81	34	38	37	68	27	91	18	41	65	63	54	78	71
Kritérium 8	max	2,9 %	32	1	73	76	49	93	92	24	11	51	42	15	51	68	14	51	39	22	19	79	22	87	99	74	40	100	95	45	55	93	71	60	44	20	53	27	59	33	67	91	15	98	31	49	7	61	89	71	19	16
Kritérium 9	min	2,7 %	82	90	51	37	62	57	92	53	36	7	42	39	58	36	35	84	41	93	92	30	8	25	83	31	45	36	60	89	60	37	90	32	91	42	84	55	69	94	76	81	7	26	46	67	46	37	87	57	55	74
Kritérium 10	min	2,6 %	96	19	66	60	57	38	24	61	3	59	7	64	48	54	95	43	89	51	89	63	35	91	64	1	74	8	37	50	61	3	80	22	15	18	32	25	68	79	60	25	93	0	25	77	85	69	38	6	79	55
Kritérium 11	max	2,5 %	83	34	43	28	24	9	91	64	68	69	3	19	19	91	1	63	77	70	33	7	22	30	47	60	99	0	86	32	61	96	65	17	22	47	95	4	56	92	14	94	84	39	36	14	99	25	33	73	47	7
Kritérium 12	max	2,4 %	2	28	19	5	30	29	0	87	56	2	46	24	70	75	6	69	25	97	6	21	36	86	61	70	99	93	40	44	96	71	18	65	18	56	49	98	54	20	54	50	90	66	5	35	4	98	59	59	40	90
Kritérium 13	min	2,2 %	83	52	71	17	100	87	9	97	88	33	80	90	65	52	92	45	40	22	17	21	83	45	57	12	68	35	48	66	68	62	63	60	27	26	28	90	94	56	46	21	13	17	79	86	100	72	83	22	95	15
Kritérium 14	max	3,8 %	100	6	72	70	73	89	35	57	50	84	18	75	15	10	43	17	34	24	77	52	18	6	24	98	21	42	17	25	8	77	37	0	63	1	14	81	94	57	69	58	33	31	69	98	88	58	64	79	4	90
Kritérium 15	min	2,0 %	39	74	12	41	72	95	58	59	11	18	41	42	9	41	1	30	78	43	15	45	51	89	24	0	74	15	47	32	96	68	82	35	95	96	77	34	91	38	73	41	55	44	7	83	69	43	21	86	72	35
Kritérium 16	max	3,1 %	59	99	84	17	55	79	20	43	5	43	7	8	76	98	90	61	96	65	32	96	75	78	56	68	60	1	45	76	68	65	85	77	60	13	9	93	3	49	95	44	80	62	100	54	98	70	55	32	66	53
Kritérium 17	max	3,1 %	65	32	73	99	71	66	49	24	22	47	34	16	18	86	63	9	45	0	67	44	97	71	88	44	23	36	34	19	58	73	51	32	91	2	51	91	0	50	20	23	60	9	96	47	69	72	62	30	42	84
Kritérium 18	max	1,7 %	62	12	91	38	89	26	72	89	27	73	28	64	98	92	61	29	18	71	6	49	70	39	51	73	50	3	96	84	40	36	15	16	45	100	79	88	78	69	94	59	74	81	23	16	4	13	71	67	32	87
Kritérium 19	min	1,5 %	75	15	7	83	48	51	100	67	31	77	91	84	2	25	73	66	78	15	89	29	11	24	32	4	27	42	99	80	63	36	76	88	16	19	18	37	15	10	94	28	61	41	1	62	4	39	10	38	86	83
Kritérium 20	max	1,5 %	75	36	84	53	46	57	57	63	85	9	15	87	65	41	92	31	39	5	33	18	73	70	100	63	80	99	45	99	92	85	18	96	45	8	83	50	6	89	15	11	33	24	7	87	9	93	76	75	49	25
Kritérium 21	min	1,4 %	82	63	22	59	43	32	60	38	70	73	99	7	85	9	25	49	17	59	83	98	76	46	70	88	40	94	16	81	91	32	24	26	4	39	81	89	55	77	34	26	6	21	82	99	100	68	62	39	35	80
Kritérium 22	min	2,9 %	18	83	64	0	67	85	13	20	55	94	67	40	28	89	33	18	91	32	62	53	11	50	30	2	35	76	49	99	9	64	96	31	91	19	33	40	1	45	84	46	5	43	94	5	13	9	61	40	96	32
Kritérium 23	max	1,2 %	75	81	77	7	12	21	89	80	29	93	68	0	53	21	50	5	27	94	54	93	36	12	11	41	65	44	40	22	47	11	92	69	28	68	5	34	16	11	69	76	61	30	21	85	94	74	23	62	32	85
Kritérium 24	max	2,0 %	76	95	40	31	86	36	68	21	46	7	76	99	22	81	37	15	73	24	45	83	17	85	13	54	0	31	5	25	19	78	47	37	21	26	94	73	44	69	83	12	52	57	8	54	38	74	63	91	18	78
Kritérium 25	min	1,0 %	97	98	26	17	15	64	62	95	21	33	93	9	94	13	85	36	82	33	100	74	38	44	64	33	75	20	93	45	55	85	15	16	9	35	33	98	88	6	90	57	93	1	23	72	24	94	69	51	5	27
Kritérium 26	min	0,9 %	86	36	14	77	49	93	24	65	5	47	75	66	69	97	62	65	61	15	11	89	58	29	38	68	99	34	3	75	58	72	13	68	64	55	49	49	75	9	14	67	88	4	43	69	73	50	26	58	68	69
Kritérium 27	min	0,9 %	34	24	8	79	1	69	22	30	10	82	17	64	60	6	75	89	66	35	24	31	37	69	21	22	70	37	34	59	75	81	13	67	80	6	52	82	69	48	72	92	23	74	27	31	96	33	85	70	27	51
Kritérium 28	max	0,8 %	54	12	88	99	65	73	53	51	98	42	98	33	80	47	12	47	73	69	41	33	99	31	53	5	38	24	94	98	12	67	68	88	81	32	20	13	99	4	75	72	10	44	84	62	37	75	38	92	68	97
Kritérium 29	max	0,7 %	100	3	99	48	10	42	58	48	79	0	59	9	1	2	66	82	53	16	25	3	30	69	49	98	49	80	75	27	37	78	73	16	20	4	99	24	56	31	75	34	40	72	32	50	80	20	88	40	33	54
Kritérium 30	min	2,0 %	73	20	81	66	29	97	94	13	77	11	78	46	13	82	81	47	61	54	81	19	42	24	25	38	38	33	85	96	1	100	54	18	32	24	78	17	22	25	64	75	99	39	60	38	55	36	56	99	50	50
Kritérium 31	max	1,7 %	71	52	47	97	3	87	39	82	28	1	2	98	59	31	71	94	1	40	8	20	74	17	36	86	92	68	84	4	12	8	13	25	69	85	13	62	11	90	56	31	31	79	34	67	16	36	84	69	90	86
Kritérium 32	max	3,6 %	1	19	95	7	21	37	32	79	66	33	58	84	55	7	46	94	7	3	71	42	14	14	22	94	74	18	6	82	70	97	41	38	79	42	31	35	81	35	61	98	100	98	98	64	33	80	13	58	34	20
Kritérium 33	min	3,4 %	0	87	48	74	49	98	77	85	85	67	93	87	23	51	83	57	99	17	35	7	73	4	33	88	44	86	17	94	67	61	54	88	13	65	96	86	72	23	63	17	5	83	94	52	36	80	83	55	80	27
Kritérium 34	max	0,6 %	28	91	68	54	51	39	70	19	26	96	34	100	94	10	82	74	98	2	79	19	0	29	46	2	59	67	16	76	68	2	1	64	14	17	38	74	0	75	19	25	31	8	38	73	65	67	64	81	44	81
Kritérium 35	min	2,0 %	38	83	14	41	81	30	78	5	71	29	95	73	34	21	79	43	31	47	12	53	28	57	100	41	4	99	75	21	73	26	63	23	44	70	85	38	32	71	98	43	90	14	40	84	82	57	35	69	14	45
Kritérium 36	min	0,5 %	24	25	30	30	66	20	44	85	37	41	53	12	63	95	31	30	24	73	80	2	97	80	59	77	73	15	67	71	43	68	99	86	63	8	94	35	25	94	54	93	18	55	97	9	78	77	1	75	60	9
Kritérium 37	max	0,4 %	2	42	97	2	93	27	64	70	68	1	25	29	64	21	80	53	62	53	56	17	94	44	36	94	85	32	100	74	45	75	34	12	29	71	8	96	80	64	31	63	30	85	52	98	37	8	27	81	71	17
Kritérium 38	max	1,2 %	24	68	90	97	4	72	65	12	1	26	2	7	93	14	71	8	78	14	40	90	20	98	76	9	7	48	37	16	11	0	18	16	91	64	21	7	67	79	67	84	36	73	20	100	96	94	56	26	80	34
Kritérium 39	min	0,5 %	0	96	36	27	48	58	47	27	35	18	95	70	95	26	15	2	15	75	84	7	53	50	48	72	11	49	26	27	90	80	98	33	20	52	21	11	61	4	92	72	80	44	76	18	44	8	87	45	47	21
Kritérium 40	max	1,2 %	96	65	80	25	79	8	72	15	32	100	61	35	24	31	13	38	96	32	34	73	3	12	71	81	72	95	30	89	68	37	80	3	88	55	79	3	23	95	45	21	22	75	62	8	39	37	91	55	84	94
Kritérium 41	max	1,7 %	48	90	46	27	28	81	89	93	65	18	9	11	26	7	98	51	59	22	49	69	58	82	87	98	51	87	78	55	0	83	74	2	68	66	88	15	89	36	73	95	47	82	81	85	88	50	46	43	69	78
Kritérium 42	max	2,2 %	54	38	87	50	32	93	87	65	78	4	29	77	8	5	78	40	67	38	39	27	83	74	0	48	38	10	77	71	38	23	6	53	13	27	18	91	96	27	74	46	53	27	50	17	71	93	74	72	4	24
Kritérium 43	max	2,7 %	19	2	66	90	27	8	7	14	96	31	24	74	6	33	1	87	40	23	63	1	75	95	86	42	53	53	64	73	41	93	2	8	84	47	33	85	22	11	16	87	73	47	38	63	100	54	49	72	33	58
